Category,Priority,Part,Qty,Unit Min,Unit Max,Currency,Min Total,Max Total,Price Confidence,Status,Source URL,Notes
Service,High,Oil filter service kit,1,8.43,8.43,EUR,=D2*E2,=D2*F2,Fixed,Ready to buy,https://www.kedo.com/kedo-oil-filter-kit-7-pieces-complete.html,KEDO 91628 in stock
Service,High,Air filter,1,18.50,18.50,EUR,=D3*E3,=D3*F3,Fixed,Ready to buy,https://www.kedo.com/air-filter-oem-reference-34k-14451-01.html,KEDO 33112 in stock
Service,High,Spark plug DPR8EA-9,1,4.20,4.20,EUR,=D4*E4,=D4*F4,Fixed,Ready to buy,https://www.kedo.com/ngk-spark-plug-dpr8ea-9-interference-suppressed.html,KEDO 40008 in stock
Service,High,Carburettor repair kit,1,21.50,21.50,EUR,=D5*E5,=D5*F5,Fixed,Ready to buy,https://www.kedo.com/carburettor-repair-kit-tt600r-re-needs-in-addition-gasket-22305.html,KEDO 94012 in stock
Service,High,Intake manifold set L+R with O-rings,1,39.90,39.90,EUR,=D6*E6,=D6*F6,Fixed,Ready to buy,https://www.kedo.com/intake-manifold-set-left-right-incl-o-rings-unrestricted-version-2.html,Price captured from KEDO related-items block
Service,Medium,Crankcase cover Allen screw set,1,8.95,8.95,EUR,=D7*E7,=D7*F7,Fixed,Ready to buy,https://www.kedo.com/allen-screw-set-for-crankcase-cover-8-8-zinc-coated-10236.html,KEDO 10236 in stock
Service,Medium,Magnetic oil drain plug M14x1.5,1,12.50,12.50,EUR,=D8*E8,=D8*F8,Fixed,Ready to buy,https://www.kedo.com/oil-drain-plug-magnetic-m14x1-5-a-f19mm-gasket-see-94026.html,KEDO 40535 in stock
Service,Medium,Copper washer 14x20x1.5,1,0.29,0.29,EUR,=D9*E9,=D9*F9,Fixed,Ready to buy,https://www.kedo.com/cu-washer-14x20x1-5mm.html,Drain plug washer
Service,Medium,Tank silent-bloc,1,7.70,7.70,EUR,=D10*E10,=D10*F10,Fixed,Ready to buy,https://www.pieces-yam.com/yamaha-moto/affectation_pieces_detachees/1W1241820100,OEM ref 1W1241820100
Optional,Low,Oil sump gasket,1,3.50,3.50,EUR,=D11*E11,=D11*F11,Fixed,Optional add-on,https://www.kedo.com/gasket-for-oil-sump-oem-reference-583-13414-00.html,KEDO 21030
12V core,Critical,Aftermarket 3TB CDI,1,299.99,299.99,USD,=D12*E12,=D12*F12,Fixed,Alternative path,https://www.regulatorrectifier.com/products/1990-2002-yamaha-xt600e-3tb-performance-ignitor-unit-assy-cdi-unit,Use only with full 3TB conversion strategy
12V core,Critical,XT600 3TB stator used,1,60,140,EUR,=D13*E13,=D13*F13,Estimate,Planning range,https://www.ebay.fr/sch/i.html?_nkw=XT600+3TB+stator,Used-market planning range only; replace with real listing price when found
12V core,Critical,XT600 3TB flywheel used,1,40,100,EUR,=D14*E14,=D14*F14,Estimate,Planning range,https://www.ebay.fr/sch/i.html?_nkw=XT600+3TB+flywheel,Must match stator generation
12V core,Critical,XT600 3TB CDI used,1,80,180,EUR,=D15*E15,=D15*F15,Estimate,Planning range,https://www.ebay.fr/sch/i.html?_nkw=3TB-82305-00,Used-market planning range; verify markings and connector count
