Order Group,Vendor,Priority,Part,Listing URL,Low-End Price Value,High-End Price Value,Currency,Price Status,Stock Status,Order Low Subtotal Formula,Order High Subtotal Formula,Notes
Order 1,KEDO,High,Oil filter service kit,https://www.kedo.com/kedo-oil-filter-kit-7-pieces-complete.html,8.43,8.43,EUR,Fixed,In stock,=SUM(F2:F10),=SUM(G2:G10),KEDO 91628
Order 1,KEDO,High,Air filter,https://www.kedo.com/air-filter-oem-reference-34k-14451-01.html,18.50,18.50,EUR,Fixed,In stock,=SUM(F2:F10),=SUM(G2:G10),KEDO 33112
Order 1,KEDO,High,Spark plug DPR8EA-9,https://www.kedo.com/ngk-spark-plug-dpr8ea-9-interference-suppressed.html,4.20,4.20,EUR,Fixed,In stock,=SUM(F2:F10),=SUM(G2:G10),KEDO 40008
Order 1,KEDO,High,Carburettor repair kit,https://www.kedo.com/carburettor-repair-kit-tt600r-re-needs-in-addition-gasket-22305.html,21.50,21.50,EUR,Fixed,In stock,=SUM(F2:F10),=SUM(G2:G10),KEDO 94012
Order 1,KEDO,High,Intake manifold set left and right with O-rings,https://www.kedo.com/intake-manifold-set-left-right-incl-o-rings-unrestricted-version-2.html,39.90,39.90,EUR,Fixed,Unknown,=SUM(F2:F10),=SUM(G2:G10),Price captured from related-items block
Order 1,KEDO,Medium,Crankcase cover Allen screw set,https://www.kedo.com/allen-screw-set-for-crankcase-cover-8-8-zinc-coated-10236.html,8.95,8.95,EUR,Fixed,In stock,=SUM(F2:F10),=SUM(G2:G10),KEDO 10236
Order 1,KEDO,Medium,Magnetic oil drain plug M14x1.5,https://www.kedo.com/oil-drain-plug-magnetic-m14x1-5-a-f19mm-gasket-see-94026.html,12.50,12.50,EUR,Fixed,In stock,=SUM(F2:F10),=SUM(G2:G10),KEDO 40535
Order 1,KEDO,Medium,Copper washer 14x20x1.5,https://www.kedo.com/cu-washer-14x20x1-5mm.html,0.29,0.29,EUR,Fixed,Unknown,=SUM(F2:F10),=SUM(G2:G10),Drain plug washer
Order 1,KEDO,Low,Oil sump gasket optional,https://www.kedo.com/gasket-for-oil-sump-oem-reference-583-13414-00.html,3.50,3.50,EUR,Fixed,In stock,=SUM(F2:F10),=SUM(G2:G10),Optional add-on
Order 2,Yamaha OEM via Pieces-Yam,Medium,Tank silent-bloc,https://www.pieces-yam.com/yamaha-moto/affectation_pieces_detachees/1W1241820100,7.70,7.70,EUR,Fixed,Live page,=SUM(F11:F11),=SUM(G11:G11),OEM ref 1W1241820100
Order 3,Electrical supplier,High,AGM battery YTX5L-BS class,,25,55,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),Fill with chosen supplier
Order 3,Electrical supplier,High,Blade fuse block 4 to 6 way,,10,25,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),ATO or ATC type
Order 3,Electrical supplier,High,Weatherproof inline fuse holder,,5,12,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),Battery-side main fuse
Order 3,Electrical supplier,High,Fuse assortment 5A 10A 20A,,5,10,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),Initial circuit protection
Order 3,Electrical supplier,High,TXL or GXL wire set,,35,80,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),5m each main gauge/color set
Order 3,Electrical supplier,High,Superseal and/or Deutsch connector kit,,25,70,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),Engine-side robust connectors preferred
Order 3,Electrical supplier,Medium,Adhesive heat shrink kit,,8,20,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),Dual-wall type
